VlrMedioOcupacao;VlrTotalDeclarado;Partido;PorcentagemDaMedia
10756413800.40;148335657157.41;PR;39.721.624.427.227.000.000.000
21643015023.76;49651375256.47;PMDB;36.031.538.231.930.000.000.000
16560240551.15;22468390198.54;PSDB;23.744.609.549.658.900.000.000
13636054701.91;16104090372.11;PP;16.993.433.147.400.200.000.000
12075638202.42;15319592545.58;PTB;12.112.688.075.078.600.000.000
12894461354.74;13424530440.34;PDT;14.571.081.716.355.100.000.000
11703244588.58;12502216059.76;PSB;14.050.185.621.630.100.000.000
17915155708.50;12278651746.31;PT;15.503.941.017.393.100.000.000
12628516241.88;11710335687.55;DEM;12.260.551.663.772.700.000.000
8598775392.18;10815007944.27;PPS;10.334.596.993.335.800.000.000
4308842119.40;10515656217.88;PSD;11.730.035.735.457.600.000.000
7935533470.70;7829096045.36;PV;9.192.858.920.451.500.000.000
6940962166.39;5795415975.61;PSC;6.708.091.562.191.980.000.000
5922603078.29;5447521142.28;PRB;5.103.171.339.260.930.000.000
4254574138.63;4922601591.30;PSL;4.024.643.900.665.050.000.000
3824546830.46;4775713514.08;PHS;5.180.097.609.223.100.000.000
1087062594.16;4140350469.34;PEN;1.934.447.340.801.310.000.000
3603565479.95;3994566241.45;PRP;4.079.057.328.629.280.000.000
3214655925.95;3808484086.78;PTN;4.356.305.666.659.700.000.000
2050643074.20;3576046095.84;PSOL;1.947.732.094.090.020.000.000
4953246703.03;3105206038.35;PC do B;3.618.346.414.343.360.000.000
3431242304.33;2852510653.93;PTC;3.090.325.030.541.480.000.000
3177224409.55;2622501417.97;PT do B;2.537.623.522.553.020.000.000
3664835445.87;2363310148.79;PMN;2.686.096.696.792.560.000.000
3203295106.92;2302592057.77;PSDC;2.731.721.720.110.840.000.000
1390054362.34;1892967742.63;SD;2.117.781.271.605.690.000.000
2734295713.91;1869125587.01;PRTB;2.170.868.162.906.500.000.000
1056536354.86;1424868467.55;PROS;1.560.001.652.123.580.000.000
166009770.32;702825893.61;PFL;457.108.894.098.044.000.000
556796983.32;528027679.28;PPL;660.112.397.242.734.000.000
354419022.44;473196773.92;REDE;556.519.994.319.645.000.000
412450915.44;393656500.60;PMB;467.022.882.484.578.000.000
152345390.60;370166437.99;PL;249.428.407.362.488.000.000
117497941.32;173994594.27;PRONA;92.807.077.691.881.500.000
23226081.65;104672781.97;NOVO;84.525.342.853.685.500.000
347754617.41;96452062.82;PCB;120.560.232.435.537.000.000
186495342.25;79588170.63;PSTU;116.507.123.303.740.000.000
109744438.57;41369151.52;PAN;29.467.447.440.381.400.000
51126387.60;28755399.34;PCO;32.009.739.368.393.800.000
