Candidato;Partido;Municipio;SiglaEstado;DiferencaPorcentagemDaMedia;VlrMedioOcupacao;VlrTotalDeclarado
GUIMARÃES DA SERRINHA;PR;BOM JESUS DO AMPARO;MG;2.148.777.550.612.890.000.000.000;290351.20;4001666000.00
MARIA VANUZIA;PHS;BETIM;MG;1.510.175.341.812.960.000.000.000;203377.13;1501609500.00
TIO PAULINHO;PV;SERRA;ES;412.645.246.442.550.000.000.000;130304.35;290917000.00
EDMAR DO PRETO;PSDB;ARAÇAÍ;MG;386.161.372.707.390.000.000.000;214174.78;180231000.00
TANIA;PSB;JAMBEIRO;SP;369.277.878.339.497.000.000.000;136207.93;300382000.00
MARCELO ALMEIDA;PMDB;PARANÁ;PR;351.323.685.818.173.000.000.000;715607.45;1536150318.80
CAJAI;PTB;SÃO PAULO;SP;322.707.227.987.667.000.000.000;1372865.94;4001500000.00
GATO;PV;ANANINDEUA;PA;313.283.479.824.110.000.000.000;625075.90;300090000.00
GELSON ALVES;PDT;MOJUÍ DOS CAMPOS;PA;285.649.967.696.078.000.000.000;747575.93;200117500.02
ADILSON PATAO;PSB;BREJETUBA;ES;279.744.317.514.373.000.000.000;114727.28;150028500.00
MUCCINI;PC do B;SOBRADINHO;BA;260.955.827.869.014.000.000.000;114958.63;150520000.00
SILVANO LIMA;PTN;CACHOEIRAS DE MACACU;RJ;245.872.174.990.177.000.000.000;691048.66;200000000.00
JURANI JURA;PTN;CAVALCANTE;GO;227.365.421.639.203.000.000.000;168084.32;140263600.00
DEUTZ;PT;SANTA INÊS;MA;227.196.417.323.467.000.000.000;102696.05;140000000.01
MAGNO DE JOAO DE DEUS;PRP;SÃO VICENTE FERRER;MA;203.564.858.175.237.000.000.000;132610.76;147231500.00
REGINALDO CAMPOS;PSB;SANTARÉM;PA;194.854.115.220.123.000.000.000;168084.32;120323847.00
MARIA LUIZA;DEM;PASTOS BONS;MA;174.432.848.890.207.000.000.000;1755482.94;107637000.00
PAULA FRASSINETE;PSB;JOÃO PESSOA;PB;169.149.265.946.503.000.000.000;203519.39;78906486.46
