Partido;QtdMasculino;QtdFeminino;QtdTotal;PercentualFeminino;PercentualMasculino
PMDB;98974;39107;138081;283.217.821.423.657.000;716.782.178.576.342.000
PSDB;78112;31237;109349;285.663.334.827.021.000;714.336.665.172.978.000
PT;75507;31155;106662;292.090.903.977.048.000;707.909.096.022.951.000
PP;63682;24695;88377;279.427.905.450.513.000;720.572.094.549.486.000
PDT;59611;22649;82260;275.334.305.859.469.000;724.665.694.140.530.000
PSB;57070;22234;79304;280.364.168.263.895.000;719.635.831.736.104.000
PTB;55508;21272;76780;277.051.315.446.730.000;722.948.684.553.269.000
DEM;53408;20920;74328;281.455.171.671.510.000;718.544.828.328.489.000
PR;49776;19212;68988;278.483.214.472.082.000;721.516.785.527.917.000
PSD;38626;16777;55403;302.817.536.956.482.000;697.182.463.043.517.000
PV;38642;15892;54534;291.414.530.384.714.000;708.585.469.615.285.000
PPS;40066;15099;55165;273.706.154.264.479.000;726.293.845.735.520.000
PSC;34357;13822;48179;286.888.478.382.697.000;713.111.521.617.302.000
PRB;30316;12982;43298;299.829.091.412.998.000;700.170.908.587.001.000
PC do B;25013;10748;35761;300.550.879.449.679.000;699.449.120.550.320.000
PSL;21334;8673;30007;289.032.559.069.550.000;710.967.440.930.449.000
PHS;20481;8408;28889;291.045.034.442.175.000;708.954.965.557.824.000
PRP;17807;7239;25046;289.028.188.133.833.000;710.971.811.866.166.000
PTC;17270;7157;24427;292.995.455.848.037.000;707.004.544.151.962.000
PTN;16956;7114;24070;295.554.632.322.393.000;704.445.367.677.606.000
PMN;17304;6770;24074;281.216.249.896.153.000;718.783.750.103.846.000
PT do B;16139;6696;22835;293.234.070.505.802.000;706.765.929.494.197.000
PSDC;16229;6476;22705;285.223.519.048.667.000;714.776.480.951.332.000
PRTB;13933;5623;19556;287.533.237.880.957.000;712.466.762.119.042.000
SD;10594;4949;15543;318.406.999.935.662.000;681.593.000.064.337.000
PSOL;11898;4725;16623;284.244.721.169.463.000;715.755.278.830.536.000
PEN;7670;3627;11297;321.058.688.147.295.000;678.941.311.852.704.000
PROS;7975;3587;11562;310.240.442.829.960.000;689.759.557.170.039.000
PPL;4405;2051;6456;317.688.971.499.380.000;682.311.028.500.619.000
PMB;2609;2007;4616;434.792.027.729.636.000;565.207.972.270.363.000
REDE;2665;1221;3886;314.204.837.879.567.000;685.795.162.120.432.000
PSTU;990;526;1516;346.965.699.208.443.000;653.034.300.791.556.000
PCB;1481;459;1940;236.597.938.144.329.000;763.402.061.855.670.000
PFL;819;134;953;140.608.604.407.135.000;859.391.395.592.864.000
PAN;435;110;545;201.834.862.385.321.000;798.165.137.614.678.000
PL;720;92;812;113.300.492.610.837.000;886.699.507.389.162.000
PRONA;459;88;547;160.877.513.711.151.000;839.122.486.288.848.000
PCO;269;85;354;240.112.994.350.282.000;759.887.005.649.717.000
NOVO;97;47;144;326.388.888.888.888.000;673.611.111.111.111.000
