SiglaEstado;QtdMasculino;QtdFeminino;QtdTotal;PercentualFeminino;PercentualMasculino
MS;14599;6284;20883;300.914.619.546.999.000;699.085.380.453.000.000
RN;18058;7590;25648;295.929.507.174.048.000;704.070.492.825.951.000
PA;39309;16477;55786;295.360.843.222.313.000;704.639.156.777.686.000
AP;4593;1914;6507;294.144.767.173.812.000;705.855.232.826.187.000
SP;169106;70454;239560;294.097.512.105.526.000;705.902.487.894.473.000
MA;38363;15970;54333;293.928.183.608.488.000;706.071.816.391.511.000
RJ;47719;19644;67363;291.614.090.821.370.000;708.385.909.178.629.000
SE;12084;4928;17012;289.677.874.441.570.000;710.322.125.558.429.000
RR;4481;1813;6294;288.052.113.123.609.000;711.947.886.876.390.000
PB;25115;10146;35261;287.739.996.029.607.000;712.260.003.970.392.000
AL;16118;6505;22623;287.539.229.987.181.000;712.460.770.012.818.000
TO;16268;6561;22829;287.397.608.305.225.000;712.602.391.694.774.000
CE;30527;12269;42796;286.685.671.558.089.000;713.314.328.441.910.000
MT;22118;8868;30986;286.193.764.926.095.000;713.806.235.073.904.000
RS;59356;23721;83077;285.530.291.175.656.000;714.469.708.824.343.000
GO;42601;17016;59617;285.421.943.405.404.000;714.578.056.594.595.000
AM;18169;7233;25402;284.741.358.948.114.000;715.258.641.051.885.000
ES;20598;8152;28750;283.547.826.086.956.000;716.452.173.913.043.000
MG;155134;61237;216371;283.018.519.117.626.000;716.981.480.882.373.000
BA;74778;29472;104250;282.705.035.971.223.000;717.294.964.028.776.000
PI;21440;8412;29852;281.790.164.813.077.000;718.209.835.186.922.000
PR;65404;25538;90942;280.816.344.483.297.000;719.183.655.516.702.000
SC;36516;14138;50654;279.109.250.996.959.000;720.890.749.003.040.000
AC;5478;2113;7591;278.355.947.832.960.000;721.644.052.167.039.000
RO;11426;4399;15825;277.977.883.096.366.000;722.022.116.903.633.000
PE;37576;14021;51597;271.740.605.073.938.000;728.259.394.926.061.000
DF;2264;787;3051;257.948.213.700.426.000;742.051.786.299.573.000
BR;9;3;12;250.000.000.000.000.000;750.000.000.000.000.000
