ID;Municipio;SiglaEstado;QtdMasculino;QtdFeminino;QtdTotal;PercentualFeminino;PercentualMasculino
3442;NOVO TRIUNFO;BA;60;42;102;411.764.705.882.352.000;588.235.294.117.647.000
3080;MILH«;CE;73;50;123;406.504.065.040.650.000;593.495.934.959.349.000
2801;LIVRAMENTO;PB;74;50;124;403.225.806.451.612.000;596.774.193.548.387.000
4754;S«O JO«O DO POL“SINE;RS;56;37;93;397.849.462.365.591.000;602.150.537.634.408.000
136;ALTAMIRA DO MARANH«O;MA;70;46;116;396.551.724.137.931.000;603.448.275.862.068.000
3149;MONTANHAS;RN;101;65;166;391.566.265.060.240.000;608.433.734.939.759.000
60;µGUA NOVA;RN;40;25;65;384.615.384.615.384.000;615.384.615.384.615.000
4103;QUEVEDOS;RS;52;32;84;380.952.380.952.380.000;619.047.619.047.619.000
643;BOA SAÈDE;RN;77;47;124;379.032.258.064.516.000;620.967.741.935.483.000
3884;PIRES FERREIRA;CE;71;43;114;377.192.982.456.140.000;622.807.017.543.859.000
4366;SAMPAIO;TO;82;49;131;374.045.801.526.717.000;625.954.198.473.282.000
220;ANANµS;TO;69;41;110;372.727.272.727.272.000;627.272.727.272.727.000
3658;PASSAGEM FRANCA DO PIAU÷;PI;64;38;102;372.549.019.607.843.000;627.450.980.392.156.000
3067;MES‡POLIS;SP;54;32;86;372.093.023.255.813.000;627.906.976.744.186.000
2890;MALTA;PB;61;36;97;371.134.020.618.556.000;628.865.979.381.443.000
5528;VIÄOSA;RN;34;20;54;370.370.370.370.370.000;629.629.629.629.629.000
4077;PUGMIL;TO;58;34;92;369.565.217.391.304.000;630.434.782.608.695.000
565;BATALHA;PI;99;58;157;369.426.751.592.356.000;630.573.248.407.643.000
5002;SENADOR GEORGINO AVELINO;RN;69;40;109;366.972.477.064.220.000;633.027.522.935.779.000
5104;S÷TIO NOVO;RN;69;40;109;366.972.477.064.220.000;633.027.522.935.779.000
4102;QUER“NCIA DO NORTE;PR;116;67;183;366.120.218.579.234.000;633.879.781.420.765.000
3595;PARAIBANO;MA;78;45;123;365.853.658.536.585.000;634.146.341.463.414.000
5128;SUCUPIRA;TO;78;45;123;365.853.658.536.585.000;634.146.341.463.414.000
5117;SOLID«O;PE;47;27;74;364.864.864.864.864.000;635.135.135.135.135.000
1848;FORTUNA;MA;68;39;107;364.485.981.308.411.000;635.514.018.691.588.000
364;ARCO-÷RIS;SP;98;56;154;363.636.363.636.363.000;636.363.636.363.636.000
3505;OURO VELHO;PB;56;32;88;363.636.363.636.363.000;636.363.636.363.636.000
3063;MERCEDES;PR;63;36;99;363.636.363.636.363.000;636.363.636.363.636.000
1450;COXILHA;RS;62;35;97;360.824.742.268.041.000;639.175.257.731.958.000
3356;NOVA ITARANA;BA;78;44;122;360.655.737.704.918.000;639.344.262.295.081.000
1967;GRAÄA ARANHA;MA;57;32;89;359.550.561.797.752.000;640.449.438.202.247.000
3352;NOVA INDEPEND“NCIA;SP;107;60;167;359.281.437.125.748.000;640.718.562.874.251.000
3028;MATO GROSSO;PB;43;24;67;358.208.955.223.880.000;641.791.044.776.119.000
189;AMAPµ DO MARANH«O;MA;129;72;201;358.208.955.223.880.000;641.791.044.776.119.000
2438;ITAUBAL;AP;131;73;204;357.843.137.254.901.000;642.156.862.745.098.000
734;BORBOREMA;PB;79;44;123;357.723.577.235.772.000;642.276.422.764.227.000
2819;LUCRêCIA;RN;36;20;56;357.142.857.142.857.000;642.857.142.857.142.000
1321;COL‚NIA DO GURGUêIA;PI;83;46;129;356.589.147.286.821.000;643.410.852.713.178.000
3548;PALMARES PAULISTA;SP;105;58;163;355.828.220.858.895.000;644.171.779.141.104.000
4052;PRESIDENTE LUCENA;RS;58;32;90;355.555.555.555.555.000;644.444.444.444.444.000
127;ALMIRANTE TAMANDARê DO SUL;RS;60;33;93;354.838.709.677.419.000;645.161.290.322.580.000
488;BANDEIRANTES DO TOCANTINS;TO;80;44;124;354.838.709.677.419.000;645.161.290.322.580.000
2724;LAGOA SANTA;GO;51;28;79;354.430.379.746.835.000;645.569.620.253.164.000
334;ARAPOEMA;TO;115;63;178;353.932.584.269.662.000;646.067.415.730.337.000
819;BURITIZAL;SP;106;58;164;353.658.536.585.365.000;646.341.463.414.634.000
3372;NOVA OLINDA;CE;53;29;82;353.658.536.585.365.000;646.341.463.414.634.000
2730;LAGOINHA DO PIAU÷;PI;64;35;99;353.535.353.535.353.000;646.464.646.464.646.000
1323;COL‚NIA LEOPOLDINA;AL;99;54;153;352.941.176.470.588.000;647.058.823.529.411.000
5149;TABOLEIRO GRANDE;RN;44;24;68;352.941.176.470.588.000;647.058.823.529.411.000
3676;PATU;RN;68;37;105;352.380.952.380.952.000;647.619.047.619.047.000
2601;JO«O ALFREDO;PE;116;63;179;351.955.307.262.569.000;648.044.692.737.430.000
4890;S«O PEDRO DA µGUA BRANCA;MA;105;57;162;351.851.851.851.851.000;648.148.148.148.148.000
556;BARRO PRETO;BA;104;56;160;350.000.000.000.000.000;650.000.000.000.000.000
1569;DILERMANDO DE AGUIAR;RS;80;43;123;349.593.495.934.959.000;650.406.504.065.040.000
2794;LINDOESTE;PR;82;44;126;349.206.349.206.349.000;650.793.650.793.650.000
2776;LENÄ‡IS;BA;125;67;192;348.958.333.333.333.000;651.041.666.666.666.000
1929;GODOFREDO VIANA;MA;142;76;218;348.623.853.211.009.000;651.376.146.788.990.000
464;BAIXIO;CE;71;38;109;348.623.853.211.009.000;651.376.146.788.990.000
2832;LUPêRCIO;SP;114;61;175;348.571.428.571.428.000;651.428.571.428.571.000
2617;JOCA CLAUDINO;PB;43;23;66;348.484.848.484.848.000;651.515.151.515.151.000
3457;OLHO D'µGUA DO BORGES;RN;43;23;66;348.484.848.484.848.000;651.515.151.515.151.000
2263;IPUEIRA;RN;58;31;89;348.314.606.741.573.000;651.685.393.258.426.000
121;ALMADINA;BA;88;47;135;348.148.148.148.148.000;651.851.851.851.851.000
4078;PUREZA;RN;103;55;158;348.101.265.822.784.000;651.898.734.177.215.000
1600;DOM AQUINO;MT;118;63;181;348.066.298.342.541.000;651.933.701.657.458.000
5124;SOSS“GO;PB;60;32;92;347.826.086.956.521.000;652.173.913.043.478.000
4788;S«O JOSê DE MIPIBU;RN;137;73;210;347.619.047.619.047.000;652.380.952.380.952.000
1421;CORONEL XAVIER CHAVES;MG;92;49;141;347.517.730.496.453.000;652.482.269.503.546.000
3373;NOVA OLINDA;PB;47;25;72;347.222.222.222.222.000;652.777.777.777.777.000
3374;NOVA OLINDA;TO;94;50;144;347.222.222.222.222.000;652.777.777.777.777.000
3699;PAULO JACINTO;AL;111;59;170;347.058.823.529.411.000;652.941.176.470.588.000
2700;LAGOA D'ANTA;RN;64;34;98;346.938.775.510.204.000;653.061.224.489.795.000
110;ALEXANDRIA;RN;64;34;98;346.938.775.510.204.000;653.061.224.489.795.000
522;BARRA DO CHAPêU;SP;96;51;147;346.938.775.510.204.000;653.061.224.489.795.000
303;ARACI;BA;226;120;346;346.820.809.248.554.000;653.179.190.751.445.000
3715;PEDRA BRANCA DO AMAPARI;AP;130;69;199;346.733.668.341.708.000;653.266.331.658.291.000
446;AXIXµ;MA;151;80;231;346.320.346.320.346.000;653.679.653.679.653.000
5426;URBANO SANTOS;MA;153;81;234;346.153.846.153.846.000;653.846.153.846.153.000
1884;GABRIEL MONTEIRO;SP;70;37;107;345.794.392.523.364.000;654.205.607.476.635.000
663;BOCAINA DO SUL;SC;106;56;162;345.679.012.345.679.000;654.320.987.654.320.000
1497;CRUZMALTINA;PR;72;38;110;345.454.545.454.545.000;654.545.454.545.454.000
2865;MADRE DE DEUS;BA;203;107;310;345.161.290.322.580.000;654.838.709.677.419.000
1459;CRIS‡LITA;MG;114;60;174;344.827.586.206.896.000;655.172.413.793.103.000
